trait,condition,layer,alpha,item,question,answer,concept_score,fluency_score
conscientiousness,baseline,18,0.0,Act without thinking,"You are in a group conversation at work and, without really pausing to consider your words, you suddenly say something that makes the room go quiet and a few people look uncomfortable. What do you do next?",I would apologize and clarify my statement to ease the tension.,0.502580167268566,0.9931303858757019
conscientiousness,baseline,18,0.0,Are always prepared,"You are about to attend an important event where you know there will be specific expectations about how to behave, and you have a few hours beforehand to get ready. How do you prepare yourself so that you handle the situation well once you are there?","I would plan my outfit, review the event details, and practice good posture and confident body language.",0.6590409223124931,0.9951432943344116
conscientiousness,baseline,18,0.0,Break rules,"You are in a group where everyone is expected to follow a clear rule, and you notice something that makes you unsure whether the rule has actually been broken or not. What would you do in that moment?",I would carefully re-examine the situation to determine if the rule was indeed broken.,0.2527726863524969,0.9937179088592529
conscientiousness,baseline,18,0.0,Break your promises,"You promised a close friend that you would have a difficult conversation with someone and clearly end a relationship by the end of the week, but when the time comes you decide not to go through with it and avoid bringing it up. What would you do in this situation, and how would you handle your promise to your friend?",I would explain my decision to my friend and take responsibility for not following through on my promise.,0.20817737232155184,0.9939180612564087
conscientiousness,baseline,18,0.0,Carry out your plans,"You have been thinking for a long time about making a significant change in your daily life, and you have finally set aside a weekend to put your plan into action step by step. What do you do when that weekend arrives and it is time to follow through on what you decided?",I would start by creating a structured schedule to ensure each step of the plan is completed efficiently.,0.7204344168040624,0.994489312171936
conscientiousness,baseline,18,0.0,Complete tasks successfully,"You are given a list of important tasks to complete by the end of the week at work, and as the days pass you realize you are running out of time and several tasks are still unfinished. What would you do to handle the situation and make sure the tasks get done?",I would prioritize the most critical tasks and focus on completing them first.,0.5868965334245001,0.994439959526062
conscientiousness,baseline,18,0.0,Do just enough work to get by,"You are given a group assignment at work with a clear minimum requirement to pass, and you realize you could finish it quickly by meeting only those basic standards, even though you know you’d have to put in extra time and effort to make it genuinely high quality. What would you do in this situation?",I would complete the assignment to the minimum standard to meet the requirement.,0.5060479673937177,0.9461531639099121
conscientiousness,baseline,18,0.0,Do more than what's expected ofyou,"You are given a simple, routine task at work or school that you could finish quickly by doing just the basic minimum that was requested, and no one has said anything about going beyond that. What would you do in this situation?",I would complete the task to the minimum required standard.,0.6777129524917211,0.9914303421974182
conscientiousness,baseline,18,0.0,Excel in what you do,"You are at your desk with a large stack of paperwork to complete before the end of the day, and you know that how well you handle it will be noticed in your next performance review. What would you do to approach this work and make sure you handle it as well as possible?","I would prioritize tasks based on urgency and importance, breaking them into manageable steps to ensure efficient completion.",0.6465395191848655,0.9949459433555603
conscientiousness,baseline,18,0.0,Handle tasks smoothly,"You are at your job where you are given the same type of task to complete repeatedly throughout the day, and the work keeps coming in at a steady pace without much variation. How do you approach this situation and handle your tasks?",I would focus on efficiency and consistency to maintain productivity throughout the day.,0.6473621363361122,0.9953941106796265
conscientiousness,baseline,18,0.0,Have difficulty starting tasks,"One morning you wake up, look at your to‑do list and free time, and you can’t immediately see how to begin or what to focus on to feel the day was well spent. What would you do next?",I would start by prioritizing one small task that brings immediate satisfaction or progress.,0.5777975565129292,0.9895564913749695
conscientiousness,baseline,18,0.0,Jump into things without thinking,"You are hanging out with some friends by a river, and one of them suddenly dares you to climb over the railing of a small bridge and jump into the water below while everyone is watching. What would you do in that moment?",I would politely decline the dare and suggest an alternative activity.,0.0769451761983188,0.9954761862754822
conscientiousness,baseline,18,0.0,Keep your promises,"You have promised a colleague that you will bring some important documents to a meeting, but when the meeting is about to start you suddenly realize you left them at home and there is no quick way to get them. What would you do in this situation?",I would inform the colleague immediately and apologize for the mistake.,0.48369608606239894,0.9923175573348999
conscientiousness,baseline,18,0.0,Know how to get things done,"You are at work trying to complete a task you’ve done before, but now you realize you can’t remember the exact steps and there’s a deadline coming up soon. What would you do next to move the task forward?",I would refer to previous records or documentation to recall the steps.,0.6321720225846642,0.988899290561676
conscientiousness,baseline,18,0.0,Leave a mess in your room,"You’ve been working on a big project in your room all afternoon, and now there are papers, clothes, and random items scattered across the floor and furniture, with some things shoved under the bed and others piled on the desk. What would you do next in this situation?",I would start by organizing the scattered items and cleaning up the space.,0.8143822465311603,0.9960220456123352
conscientiousness,baseline,18,0.0,Leave your belongings around,"You are sharing a small living space with someone, and as you get ready for the day you leave your bag, jacket, and keys scattered around the common area before heading out. What would you do about your belongings in this situation?",I would check the common area for my belongings before leaving.,0.7330254971155375,0.9955256581306458
