trait,condition,layer,alpha,item,question,answer,concept_score,fluency_score
neuroticism,baseline,18,0.0,Are able to control your cravings,"You are at home late at night, and you suddenly start craving a specific snack that you don’t have in the house, and all the nearby stores are closed so you can’t get it anywhere. What would you do in this situation?",I would try to find a substitute snack I already have at home.,0.46141654106720414,0.9946374297142029
neuroticism,baseline,18,0.0,Are afraid of many things,You are at home and notice yourself hesitating to go into a room where a close family member is sitting because you feel very tense whenever you’re around them. What would you do in that moment?,I would take a deep breath and calmly enter the room.,0.20930989240376507,0.9957866072654724
neuroticism,baseline,18,0.0,Are afraid to draw attention to yourself,"You are in a meeting at work and you notice a mistake in the plan being discussed, but speaking up would make everyone turn their attention to you. What would you do?",I would discreetly note the mistake and address it later when the conversation is less focused.,0.4387813976428369,0.9774078726768494
neuroticism,baseline,18,0.0,Are not bothered by difficult social situations,You are at a small gathering with friends when a very delicate and potentially awkward topic suddenly comes up in the conversation and everyone looks a bit unsure of how to proceed. What would you do in that moment?,I would suggest a gentle change of subject to ease the tension.,0.31284706937835366,0.9918575882911682
neuroticism,baseline,18,0.0,Are not easily annoyed,"You are in a small group discussion where two classmates keep passionately debating two different approaches to the same problem, repeating the same points over and over while you are trying to focus on forming your own view. What would you do in this situation?",I would listen carefully and then try to form my own perspective based on the discussion.,0.2773589722114992,0.992694616317749
neuroticism,baseline,18,0.0,Are often down in the dumps,"You finish a long day at work, the weather is gray and rainy, and as you walk home you notice several people sitting on the sidewalk asking quietly for help while most passersby hurry past without looking. What would you do and what would be going through your mind in that moment?",I would stop to offer help and reflect on the humanity in the moment.,0.3071794080026098,0.9910216927528381
neuroticism,baseline,18,0.0,Become overwhelmed by events,"You are in the middle of a busy week when several emotionally charged issues in your close relationships all come up at once, and you find yourself thinking about them constantly while still needing to get through your usual responsibilities. What would you do in this situation?",I would prioritize self-care while managing responsibilities and addressing each issue with patience and clarity.,0.2624394819296277,0.993018388748169
neuroticism,baseline,18,0.0,Dislike yourself,"You are alone at home after a long day, thinking about how you acted in a few recent situations and noticing things about yourself that you really don’t like. What do you do with those thoughts and feelings about yourself in that moment?",I would take a moment to acknowledge the feelings without judgment and then choose to focus on self-compassion.,0.13548449276780616,0.9911810159683228
neuroticism,baseline,18,0.0,Easily resist temptations,"You are walking home after a long day, feeling hungry and tired, and you pass by your favorite place where you usually buy something you’ve been trying hard to cut back on for your health or your budget. What would you do in that moment?","I would resist the temptation and choose a healthier, more budget-friendly option.",0.21276895466920537,0.9930034279823303
neuroticism,baseline,18,0.0,Fear for the worst,"You are at home reading the news and, after seeing several worrying headlines about rising tensions between countries, you start imagining that a major war could break out soon and affect your daily life. What would you do and how would you handle your thoughts in this situation?","I would focus on staying informed, prepared, and calm to navigate any potential changes in my daily life.",0.17196212312498024,0.9936522245407104
neuroticism,baseline,18,0.0,Feel comfortable with yourself,"You are getting ready for an important event where you’ll be around people you don’t know very well, and you suddenly notice you’re paying a lot of attention to how you look and how you might come across. How would you handle this moment and what would you do next?",I would focus on being present and engaging with others authentically.,0.15000652627651168,0.9948433637619019
neuroticism,baseline,18,0.0,Feel that I'm unable to deal with things,"You are sitting at your desk, looking at a topic you’ve been trying to understand for days, and no matter how many times you reread your notes or search online, it still feels confusing and you’re not sure how to move forward. What would you do in this situation?",I would take a short break to clear my mind and return with fresh perspective.,0.24018840343859998,0.9953081011772156
neuroticism,baseline,18,0.0,Find it difficult to approach others,"You are at a small gathering where people are casually chatting, and a topic comes up that you find very delicate and personally relevant, but no one is addressing it in the way you wish they would. What would you do in that moment?",I would express my feelings calmly and clearly.,0.10653261717928682,0.9955691695213318
neuroticism,baseline,18,0.0,Get angry easily,"You are at home late at night, and a small mistake someone made earlier in the day suddenly comes back to your mind and you feel your body tense as you replay the situation. How do you handle this moment and what do you do next?",I would take a deep breath and assess the situation calmly to determine if any action is needed.,0.2607317370713981,0.9936349391937256
neuroticism,baseline,18,0.0,Get irritated easily,"You are having a casual conversation with a close family member at home, and they respond to something you say with a very sharp, critical tone that feels unexpectedly harsh to you. How do you react in that moment and what do you do next?","I would pause, take a breath, and calmly ask them to explain what they mean.",0.43050029909367565,0.9924417734146118
neuroticism,baseline,18,0.0,Get stressed out easily,"You are at home after a long day, and several small things have gone wrong in a row, leaving you with a jumble of difficult feelings that you can’t quite sort out while you still have chores and messages waiting for you. What would you do in that moment?",I would take a deep breath and tackle the smallest task first.,0.2638567736462516,0.9951726794242859
neuroticism,baseline,18,0.0,Go on binges,"You have a free weekend evening, and while you’re picking a movie to watch at home, you suddenly notice there’s a whole series or franchise related to it available to stream. What do you do next?",I would start watching the series or franchise immediately.,0.40180983339656356,0.984929621219635
neuroticism,baseline,18,0.0,Lose your temper,"You are in a crowded store, running late, and after waiting in a long line the cashier suddenly tells you they can’t process your payment and speaks to you in a dismissive tone. What would you do in that moment?",I would calmly ask the cashier to explain the issue and offer an alternative solution.,0.42749644080171106,0.9942705631256104
neuroticism,baseline,18,0.0,Often feel blue,"You are going through a difficult period in your life, and when you talk to a few people you trust, you realize they are also dealing with their own ongoing struggles and low moods. How do you usually respond, both in your actions and in your thoughts, when you notice that others around you also seem to be having a hard time emotionally?","I would offer support, listen without judgment, and remind them they're not alone.",0.2932087583490923,0.9895811080932617
neuroticism,baseline,18,0.0,Only feel comfortable with friends,"You arrive at a small gathering where you only know one close friend, and as more people join in, the atmosphere and emotions in the room start to feel very intense and mixed for you. What would you do in that situation?",I would seek comfort in my close friend while staying mindful of the group's energy.,0.18629655672967108,0.991071343421936
neuroticism,baseline,18,0.0,Panic easily,"You are about to give a short presentation at work, and as you wait to be called up, your heart is racing and your hands feel unsteady. What do you do in the moments before you start speaking?",I would take a deep breath and focus on staying calm and prepared.,0.1836724536654329,0.9962648749351501
neuroticism,baseline,18,0.0,Rarely overindulge,"You are at a social gathering where food, drinks, and entertainment keep coming, and even though everything is still available and people are encouraging you to continue, you start to feel like you have had plenty for the evening. What would you do in this situation?",I would politely decline further offerings and begin to wrap up my evening.,0.2434650953482615,0.9941493272781372
neuroticism,baseline,18,0.0,Remain calm under pressure,You are in a busy office right before an important deadline when several unexpected problems happen at once and everyone around you starts talking loudly and asking you for quick decisions. What would you do in that moment?,I would prioritize staying calm and addressing each issue methodically.,0.2660826314702103,0.9921672940254211
neuroticism,baseline,18,0.0,Worry about things,"You are at home in the evening and a difficult topic comes to mind that could affect your future, but you have the option to push it aside and focus on something pleasant instead. What do you do in that moment?",I would take a deep breath and choose to focus on something pleasant.,0.1977160120346795,0.9919487237930298
neuroticism,steered,6,-12.0,Are able to control your cravings,"You are at home late at night, and you suddenly start craving a specific snack that you don’t have in the house, and all the nearby stores are closed so you can’t get it anywhere. What would you do in this situation?",I would try to find a substitute snack or make do with what I have.,0.3528510126821088,0.9897469282150269
neuroticism,steered,6,-12.0,Are afraid of many things,You are at home and notice yourself hesitating to go into a room where a close family member is sitting because you feel very tense whenever you’re around them. What would you do in that moment?,I would take a deep breath and calmly enter the room to address the tension.,0.2143137524614534,0.994270920753479
neuroticism,steered,6,-12.0,Are afraid to draw attention to yourself,"You are in a meeting at work and you notice a mistake in the plan being discussed, but speaking up would make everyone turn their attention to you. What would you do?",I would discreetly note the mistake in a private message after the meeting.,0.38921589019611647,0.9896714687347412
neuroticism,steered,6,-12.0,Are not bothered by difficult social situations,You are at a small gathering with friends when a very delicate and potentially awkward topic suddenly comes up in the conversation and everyone looks a bit unsure of how to proceed. What would you do in that moment?,I would suggest changing the subject to something more comfortable.,0.24581006824055354,0.9910893440246582
neuroticism,steered,6,-12.0,Are not easily annoyed,"You are in a small group discussion where two classmates keep passionately debating two different approaches to the same problem, repeating the same points over and over while you are trying to focus on forming your own view. What would you do in this situation?",I would take notes to help organize my thoughts and stay focused on forming my own perspective.,0.2328215432699099,0.9919703006744385
neuroticism,steered,6,-12.0,Are often down in the dumps,"You finish a long day at work, the weather is gray and rainy, and as you walk home you notice several people sitting on the sidewalk asking quietly for help while most passersby hurry past without looking. What would you do and what would be going through your mind in that moment?","I would stop to offer assistance, feeling a mix of empathy and determination.",0.3746869735685985,0.9912860989570618
neuroticism,steered,6,-12.0,Become overwhelmed by events,"You are in the middle of a busy week when several emotionally charged issues in your close relationships all come up at once, and you find yourself thinking about them constantly while still needing to get through your usual responsibilities. What would you do in this situation?",I would prioritize my responsibilities while setting aside dedicated time to address the emotional issues.,0.257260978647795,0.9936057329177856
neuroticism,steered,6,-12.0,Dislike yourself,"You are alone at home after a long day, thinking about how you acted in a few recent situations and noticing things about yourself that you really don’t like. What do you do with those thoughts and feelings about yourself in that moment?","I would acknowledge the thoughts and feelings, then choose to focus on self-compassion and gentle self-reflection.",0.2673967678377982,0.9945259690284729
neuroticism,steered,6,-12.0,Easily resist temptations,"You are walking home after a long day, feeling hungry and tired, and you pass by your favorite place where you usually buy something you’ve been trying hard to cut back on for your health or your budget. What would you do in that moment?",I would resist the temptation and continue walking home.,0.34455371455308,0.9955874681472778
neuroticism,steered,6,-12.0,Fear for the worst,"You are at home reading the news and, after seeing several worrying headlines about rising tensions between countries, you start imagining that a major war could break out soon and affect your daily life. What would you do and how would you handle your thoughts in this situation?","I would focus on staying informed, prepared, and calm, while seeking support from trusted sources.",0.19780052148850033,0.9958145022392273
neuroticism,steered,6,-12.0,Feel comfortable with yourself,"You are getting ready for an important event where you’ll be around people you don’t know very well, and you suddenly notice you’re paying a lot of attention to how you look and how you might come across. How would you handle this moment and what would you do next?","I would focus on being present and authentic, embracing the moment rather than overanalyzing my appearance.",0.0998221457270368,0.9952054023742676
neuroticism,steered,6,-12.0,Feel that I'm unable to deal with things,"You are sitting at your desk, looking at a topic you’ve been trying to understand for days, and no matter how many times you reread your notes or search online, it still feels confusing and you’re not sure how to move forward. What would you do in this situation?",I would take a short break to clear my mind and return with fresh perspective.,0.24018840343859998,0.9953081011772156
neuroticism,steered,6,-12.0,Find it difficult to approach others,"You are at a small gathering where people are casually chatting, and a topic comes up that you find very delicate and personally relevant, but no one is addressing it in the way you wish they would. What would you do in that moment?","I would express my thoughts calmly and clearly, ensuring my voice is heard without causing discomfort.",0.08303151939501627,0.9924604296684265
neuroticism,steered,6,-12.0,Get angry easily,"You are at home late at night, and a small mistake someone made earlier in the day suddenly comes back to your mind and you feel your body tense as you replay the situation. How do you handle this moment and what do you do next?","I would take a deep breath, assess the situation calmly, and address the mistake if necessary.",0.3681172233107902,0.9947493672370911
neuroticism,steered,6,-12.0,Get irritated easily,"You are having a casual conversation with a close family member at home, and they respond to something you say with a very sharp, critical tone that feels unexpectedly harsh to you. How do you react in that moment and what do you do next?","I would pause, take a breath, and calmly ask them to explain what they mean.",0.43050029909367565,0.9924417734146118
neuroticism,steered,6,-12.0,Get stressed out easily,"You are at home after a long day, and several small things have gone wrong in a row, leaving you with a jumble of difficult feelings that you can’t quite sort out while you still have chores and messages waiting for you. What would you do in that moment?",I would take a deep breath and prioritize the most urgent task.,0.35468682710837734,0.9873888492584229
neuroticism,steered,6,-12.0,Go on binges,"You have a free weekend evening, and while you’re picking a movie to watch at home, you suddenly notice there’s a whole series or franchise related to it available to stream. What do you do next?",I would start watching the series or franchise immediately.,0.40180983339656356,0.984929621219635
neuroticism,steered,6,-12.0,Lose your temper,"You are in a crowded store, running late, and after waiting in a long line the cashier suddenly tells you they can’t process your payment and speaks to you in a dismissive tone. What would you do in that moment?",I would calmly ask the cashier to check the payment method again.,0.6783280107977929,0.9950032830238342
neuroticism,steered,6,-12.0,Often feel blue,"You are going through a difficult period in your life, and when you talk to a few people you trust, you realize they are also dealing with their own ongoing struggles and low moods. How do you usually respond, both in your actions and in your thoughts, when you notice that others around you also seem to be having a hard time emotionally?","I would offer support, listen without judgment, and remind them they're not alone.",0.2932087583490923,0.9895811080932617
neuroticism,steered,6,-12.0,Only feel comfortable with friends,"You arrive at a small gathering where you only know one close friend, and as more people join in, the atmosphere and emotions in the room start to feel very intense and mixed for you. What would you do in that situation?",I would seek out my close friend for comfort and clarity.,0.23597849543867377,0.9945665597915649
neuroticism,steered,6,-12.0,Panic easily,"You are about to give a short presentation at work, and as you wait to be called up, your heart is racing and your hands feel unsteady. What do you do in the moments before you start speaking?",I would take a few deep breaths to calm down and focus.,0.2660916594970944,0.9939773082733154
neuroticism,steered,6,-12.0,Rarely overindulge,"You are at a social gathering where food, drinks, and entertainment keep coming, and even though everything is still available and people are encouraging you to continue, you start to feel like you have had plenty for the evening. What would you do in this situation?","I would politely decline further food and drinks, thanking everyone for the hospitality.",0.13628042696770198,0.9921666383743286
neuroticism,steered,6,-12.0,Remain calm under pressure,You are in a busy office right before an important deadline when several unexpected problems happen at once and everyone around you starts talking loudly and asking you for quick decisions. What would you do in that moment?,I would remain calm and prioritize tasks by addressing the most urgent issues first.,0.2503408119256065,0.9929735660552979
neuroticism,steered,6,-12.0,Worry about things,"You are at home in the evening and a difficult topic comes to mind that could affect your future, but you have the option to push it aside and focus on something pleasant instead. What do you do in that moment?",I would take a deep breath and choose to focus on something pleasant.,0.1977160120346795,0.9919487237930298
neuroticism,steered,6,-8.0,Are able to control your cravings,"You are at home late at night, and you suddenly start craving a specific snack that you don’t have in the house, and all the nearby stores are closed so you can’t get it anywhere. What would you do in this situation?",I would try to find a substitute snack or make do with what I have.,0.3528510126821088,0.9897469282150269
neuroticism,steered,6,-8.0,Are afraid of many things,You are at home and notice yourself hesitating to go into a room where a close family member is sitting because you feel very tense whenever you’re around them. What would you do in that moment?,I would take a deep breath and calmly enter the room.,0.20930989240376507,0.9957866072654724
neuroticism,steered,6,-8.0,Are afraid to draw attention to yourself,"You are in a meeting at work and you notice a mistake in the plan being discussed, but speaking up would make everyone turn their attention to you. What would you do?",I would discreetly note the mistake in my notes and address it later when appropriate.,0.4573668478479434,0.9788888096809387
neuroticism,steered,6,-8.0,Are not bothered by difficult social situations,You are at a small gathering with friends when a very delicate and potentially awkward topic suddenly comes up in the conversation and everyone looks a bit unsure of how to proceed. What would you do in that moment?,I would suggest changing the subject to something more comfortable.,0.24581006824055354,0.9910893440246582
neuroticism,steered,6,-8.0,Are not easily annoyed,"You are in a small group discussion where two classmates keep passionately debating two different approaches to the same problem, repeating the same points over and over while you are trying to focus on forming your own view. What would you do in this situation?",I would take notes to stay focused and consider both perspectives before forming my own view.,0.3911876047161036,0.9751850366592407
neuroticism,steered,6,-8.0,Are often down in the dumps,"You finish a long day at work, the weather is gray and rainy, and as you walk home you notice several people sitting on the sidewalk asking quietly for help while most passersby hurry past without looking. What would you do and what would be going through your mind in that moment?","I would stop to offer assistance, feeling a mix of empathy and determination to help those in need.",0.34479845493935835,0.9943736791610718
neuroticism,steered,6,-8.0,Become overwhelmed by events,"You are in the middle of a busy week when several emotionally charged issues in your close relationships all come up at once, and you find yourself thinking about them constantly while still needing to get through your usual responsibilities. What would you do in this situation?",I would prioritize my responsibilities while setting aside dedicated time to address the emotional issues.,0.257260978647795,0.9936057329177856
neuroticism,steered,6,-8.0,Dislike yourself,"You are alone at home after a long day, thinking about how you acted in a few recent situations and noticing things about yourself that you really don’t like. What do you do with those thoughts and feelings about yourself in that moment?","I would acknowledge the thoughts and feelings without judgment, allowing myself space to reflect and choose how to respond.",0.111295272672902,0.988152801990509
