condition,layer,alpha,item,question,answer,extraversion_score,fluency_score
baseline,18,0.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the room.,0.05277171715253764,0.9934161901473999
baseline,18,0.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16314814974015224,0.9958551526069641
baseline,18,0.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
baseline,18,0.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20971786726644512,0.9949980974197388
baseline,18,0.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16918609150113198,0.9946866035461426
baseline,18,0.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
baseline,18,0.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would decline and suggest a safer, more responsible activity.",0.19806180443636578,0.9818018078804016
baseline,18,0.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others' perspectives.,0.8526537784515483,0.9925823211669922
baseline,18,0.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.1891285644369156,0.9943863153457642
baseline,18,0.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5676310937711666,0.9545425772666931
baseline,18,0.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
baseline,18,0.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps sit quietly to reflect.",0.18965472921491272,0.9905638694763184
baseline,18,0.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
baseline,18,0.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
baseline,18,0.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, meaningful activities to find balance and clarity.",0.30970694805734683,0.9935994148254395
baseline,18,0.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
baseline,18,0.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
baseline,18,0.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
baseline,18,0.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and prepare for the challenges ahead.,0.5310010400479606,0.9947792291641235
baseline,18,0.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.4843824966258622,0.9949133396148682
baseline,18,0.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7687922546011229,0.9921737909317017
baseline,18,0.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?","I would move between groups, engaging in brief conversations before moving on to explore other clusters.",0.6192953919503604,0.9946038126945496
baseline,18,0.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5205428633618655,0.9932880997657776
baseline,18,0.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,6,-12.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step away to calm down.,0.07628910473202802,0.9729787111282349
steered,6,-12.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16314814974015224,0.9958551526069641
steered,6,-12.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,6,-12.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely decline and find a quiet place to read or reflect.,0.025476455830948954,0.9925926327705383
steered,6,-12.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.17098040140302542,0.9962301850318909
